Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
SSP00226,21 - Library,21.00.02.720,2.72,Quiet Space 2.72,Quiet Space 2.72,2e verdieping,52.002437,4.375626,6,6,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00225,21 - Library,21.00.02.740,2.74,Quiet Space 3.74,Quiet Space 3.74,2e verdieping,52.002437,4.375626,6,6,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00224,21 - Library,21.00.02.760,2.76,Quiet Space 2.76,Quiet Space 2.76,2e verdieping,52.002437,4.375626,6,6,stil,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00223,21 - Library,21.00.02.780,2.78,Quiet Space 2.78,Quiet Space 2.78,2e verdieping,52.002437,4.375626,6,6,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00249,21 - Library,21.00.02.800,2.8,Project Room - Sun,Project Room - Sun,2e verdieping,52.002437,4.375626,6,0,rustig,daglicht,ja (>/= 1 pp),ja,ja,>25m,0-50m,>25m
SSP00250,21 - Library,21.00.02.820,2.82,Project Room - Water,Project Room - Water,2e verdieping,52.002437,4.375626,6,0,rustig,daglicht,ja (>/= 1 pp),nee,ja,>25m,0-50m,>25m
SSP00251,21 - Library,21.00.02.840,2.84,Project Room - Wind,Project Room - Wind,2e verdieping,52.002437,4.375626,6,0,rustig,daglicht,ja (>/= 1 pp),nee,ja,>25m,0-50m,>25m
SSP00204,21 - Library,21.00.02.860,2.86,Project Room - Bio,Project Room - Bio,2e verdieping,52.002437,4.375626,6,0,rustig,onbekend,onbekend,onbekend,onbekend,>25m,0-50m,onbekend
SSP00229,21 - Library ,21.00.03.010,3.01,Cone One,Cone One,3e verdieping,52.002714,4.375651,142,142,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
23SSP005,21 - Library ,21.00.03.720,3.72,Quiet Space 3.72,Quiet Space 3.72,3e verdieping,52.002686,4.375248,12,12,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
SSP00243,21 - Library,21.00.03.740,3.74,Quiet Space 3.74,Quiet Space 3.74,3e verdieping,52.002437,4.375626,12,12,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00244,21 - Library,21.00.03.780,3.78,Quiet Space 3.78,Quiet Space 3.78,3e verdieping,52.002437,4.375626,9,9,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00232,21 - Library ,21.00.04.010,4.01,Cone Two,Cone Two,4e verdieping,52.002714,4.375651,116,116,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00245,21 - Library ,21.00.05.010,5.01,Cone Three,Cone Three,5e verdieping,52.002714,4.375651,84,84,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00247,21 - Library ,21.00.06.010,6.01,Cone Sky,Cone Sky,6e verdieping,52.002714,4.375651,64,64,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00320,22 - Technische Natuurkunde,22.01.00.500,A 050,Side Entrance,Side Entrance,begane grond,52.00171,4.374222,10,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00335,22 - Technische Natuurkunde,22.01.01.020,A 102,Study Area,Study Area,1e verdieping,52.001637,4.373938,72,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00318,22 - Technische Natuurkunde,22.01.01.500,A 150,Hallway,Hallway,1e verdieping,52.00171,4.374222,18,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00316,22 - Technische Natuurkunde,22.01.02.010,A 201,Study Room - Low-Stimulus,Study Room - Low-Stimulus,2e verdieping,52.001548,4.373703,30,30,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
