Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
SSP00293,"31 - Techniek, Bestuur en Management",31.01.00.330,A0.330,Project Room 6,Project Room 6,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00294,"31 - Techniek, Bestuur en Management",31.01.00.340,A0.340,Project Room 7,Project Room 7,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00295,"31 - Techniek, Bestuur en Management",31.01.00.350,A0.350,Project Room 8,Project Room 8,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00296,"31 - Techniek, Bestuur en Management",31.01.00.370,A0.370,Project Room 9,Project Room 9,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00286,"31 - Techniek, Bestuur en Management",31.01.00.380,A0.380,Project Room 10,Project Room 10,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00287,"31 - Techniek, Bestuur en Management",31.01.00.390,A0.390,Project Room 11,Project Room 11,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00288,"31 - Techniek, Bestuur en Management",31.01.00.400,A0.400,Project Room 12,Project Room 12,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
23SSP024,"31 - Techniek, Bestuur en Management",31.01.00.520,A0.520,Hallway - Cubicles,Hallway - Cubicles,begane grond,52.002552,4.369433,16,0,rumoerig,daglicht,nee,nee,nee,nvt,0-50m,0-50m
SSP00280,"31 - Techniek, Bestuur en Management",31.02.01.821,A1.821,Hallway,Hallway,1e verdieping,52.002574,4.369456,5,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00279,"31 - Techniek, Bestuur en Management",31.01.01.841,A1.841,Hallway - Cubicles,Hallway - Cubicles,1e verdieping,52.002639,4.369808,36,0,rustig,daglicht,ja (<1 pp),nee,ja,0-25m,0-50m,0-25m
SSP00282,"31 - Techniek, Bestuur en Management",31.03.00.060,B0.060,Hallway - Cubicles,Hallway - Cubicles,begane grond,52.002467,4.369293,15,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00297,"31 - Techniek, Bestuur en Management",31.03.00.140,B0.140,TB-Café,TB-Café,begane grond,52.002409,4.369041,76,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
23SSP025,"31 - Techniek, Bestuur en Management",31.03.00.260,B0.260,Restaurant,Restaurant,begane grond,52.002552,4.369433,71,0,rumoerig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
SSP00283,"31 - Techniek, Bestuur en Management",31.05.00.010,D0.010,Computer Room A,Computer Room A,begane grond,52.00212,4.369109,70,70,stil,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP027,"31 - Techniek, Bestuur en Management",31.05.01.010,D1.010,Silent Study Room,Silent Study Room,1e verdieping,52.002552,4.369433,60,60,stil,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,>25m
23SSP028,"31 - Techniek, Bestuur en Management",31.05.01.010,D1.010,Silent Study Room - Cubicles,Silent Study Room - Cubicles,1e verdieping,52.002552,4.369433,24,0,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
23SSP029,"31 - Techniek, Bestuur en Management",31.05.01.010,D1.010,Silent Study Room - with Computers,Silent Study Room - with Computers,1e verdieping,52.002552,4.369433,20,20,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
SSP00199,32 - Industrieel Ontwerpen,32.01.00.100,A-0-100,Restaurant,Restaurant,begane grond,52.00144,4.369694,188,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
23SSP031,32 - Industrieel Ontwerpen,32.01.00.300,A-0-300,Main Hall,Main Hall,begane grond,52.001678,4.369999,188,96,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
SSP00192,32 - Industrieel Ontwerpen,32.01.00.300,A-0-300,Main Hall - tribune,Main Hall - tribune,begane grond,52.001644,4.369478,48,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00193,32 - Industrieel Ontwerpen,32.01.00.600,A-0-600,Main Hall - Cubicles,Main Hall - Cubicles,begane grond,52.001879,4.369848,32,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP032,32 - Industrieel Ontwerpen,32.01.00.801,A-0-801,Main Hall - next tot Service Desk,Main Hall - next tot Service Desk,begane grond,52.001678,4.369999,24,0,rumoerig,kunstmatig licht,nee,nee,nee,nvt,0-50m,>25m
SSP00197,32 - Industrieel Ontwerpen,32.01.00.801,A-0-801,Main Hall - Vending Machines,Main Hall - Vending Machines,Begane grond,52.001677,4.369711,32,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00183,32 - Industrieel Ontwerpen,32.01.01.110,A-1-110,Entresol 1,Entresol 1,tussenverdieping bg,52.00144,4.369694,84,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,>25m
SSP00184,32 - Industrieel Ontwerpen,32.01.01.190,A-1-190,Entresol 2 - Group Tables,Entresol 2 - Group Tables,tussenverdieping bg,52.00144,4.369694,48,0,rumoerig,kunstmatig licht,nee,nee,nee,>25m,0-50m,>25m
SSP00185,32 - Industrieel Ontwerpen,32.01.01.190,A-1-190,Entresol 2 - Individual Spots,Entresol 2 - Individual Spots,tussenverdieping bg,52.00144,4.369694,45,45,rumoerig,kunstmatig licht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,>25m
SSP00187,32 - Industrieel Ontwerpen,32.01.01.801,A-1-801,Balustrade,Balustrade,1e verdieping,52.001429,4.369398,16,16,rumoerig,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
SSP00188,32 - Industrieel Ontwerpen,32.01.01.801,A-1-801,Balustrade - with Computers,Balustrade - with Computers,1e verdieping,52.001429,4.369398,24,24,rumoerig,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
23SSP030,32 - Industrieel Ontwerpen,32.01.K1.150,A-K-150,Study Area - Basement,Study Area - Basement,kelder,52.001678,4.369999,40,0,rumoerig,kunstmatig licht,nee,nee,nee,nvt,0-50m,>25m
SSP00203,32 - Industrieel Ontwerpen,32.03.K1.010,C-K-010,Study Room - Basement,Study Room - Basement,kelder,52.001696,4.368919,24,24,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,>50m,>25m
23SSP033,33 - PULSE,33.01.00.100,A0.100,Main Hall,Main Hall,begane grond,52.001605,4.370929,50,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP034,33 - PULSE,33.01.00.100,A0.100,Food Market,Food Market,begane grond,52.001605,4.370929,186,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP036,33 - PULSE,33.01.01.100,A1.100,Study Area,Study Area,1e verdieping,52.001605,4.370929,24,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP037,33 - PULSE,33.01.01.100,A1.100,Coffee corner + lounge,Coffee corner + lounge,1e verdieping,52.001605,4.370929,28,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,>50m,0-25m
23SSP038,33 - PULSE,33.01.02.100,A2.100,Study Area,Study Area,2e verdieping,52.001605,4.370929,52,32,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP039,33 - PULSE,33.01.02.100,A2.100,Balustrade,Balustrade,2e verdieping,52.001605,4.370929,11,11,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,>50m,0-25m
23SSP040,33 - PULSE,33.01.02.100,A2.100,Coffee corner + lounge,Coffee corner + lounge,2e verdieping,52.001605,4.370929,32,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP035,33 - PULSE,33.01.T0.100,AT0.100,Study Area,Study Area,tussenverdieping bg,52.001605,4.370929,24,18,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,>50m,0-25m
23SSP041,34 - 3mE,34.01.00.802,A-0-802,Coffeebar Lemon & Beans,Coffeebar Lemon & Beans,begane grond,52.001605,4.370929,20,0,rumoerig,daglicht,nee,ja,nee,nvt,onbekend,0-25m
SSP00004,34 - 3mE,34.01.00.805,A-0-805,Study Area A-0,Study Area A-0,begane grond,52.000799,4.371138,25,0,rumoerig,daglicht,nee,ja,nee,0-25m,onbekend,0-25m
SSP00029,34 - 3mE,34.02.00.170,B-0-170,Project Room 7,Project Room 7,begane grond,52.001299,4.371912,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,0-25m,0-50m,0-25m
23SSP045,34 - 3mE,34.02.00.200,B-0-200,Project Room 8,Project Room 8,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
23SSP042,34 - 3mE,34.02.00.210,B-0-210,Project Room 14,Project Room 14,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
23SSP046,34 - 3mE,34.02.00.240,B-0-240,Project Room 13,Project Room 13,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
23SSP043,34 - 3mE,34.02.00.250,B-0-250,Project Room 9,Project Room 9,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
23SSP047,34 - 3mE,34.02.00.280,B-0-280,Project Room 12,Project Room 12,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
23SSP044,34 - 3mE,34.02.00.290,B-0-290,Project Room 10,Project Room 10,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
23SSP048,34 - 3mE,34.02.00.320,B-0-320,Project Room 11,Project Room 11,begane grond,52.00099,4.371937,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,nee,nvt,0-50m,0-25m
SSP00021,34 - 3mE,34.03.01.010,C-1-010,Study Area C-1,Study Area C-1,1e verdieping,52.001591,4.371567,16,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
23SSP050,34 - 3mE,34.03.04.170,C-4-170,Study Room Master Students,Study Room Master Students,4e verdieping,52.00099,4.371937,80,40,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
23SSP051,34 - 3mE,34.03.04.170,C-4-170,Study Room Master Students - with Monitors,Study Room Master Students - with Monitors,4e verdieping,52.00099,4.371937,32,32,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
SSP00024,34 - 3mE,34.03.T0.010,C-T0-010,Study Area C-0,Study Area C-0,tussenverdieping bg,52.001591,4.371567,16,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00025,34 - 3mE,34.03.T1.010,C-T1-010,Study Area C-1,Study Area C-1,tussenverdieping 1e,52.001591,4.371567,16,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
SSP00022,34 - 3mE,34.05.01.450,E-1-450,Study Area E-1,Study Area E-1,1e verdieping,52.000461,4.372337,16,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
23SSP052,34 - 3mE,34.05.04.170,E-4-170,Study Landscape Students,Study Landscape Students,4e verdieping,52.00099,4.371937,24,24,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
23SSP053,34 - 3mE,34.05.04.170,E-4-170,Study Landscape Students - with Monitors,Study Landscape Students - with Monitors,4e verdieping,52.00099,4.371937,48,48,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
SSP00007,34 - 3mE,34.05.04.330,E-4-330,Project Room 15,Project Room 15,4e verdieping,52.000799,4.372466,8,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
SSP00008,34 - 3mE,34.05.04.340,E-4-340,Project Room 16,Project Room 16,4e verdieping,52.000799,4.372466,8,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
23SSP049,34 - 3mE,34.05.T0.450,E-T0-450,Study Area E-0,Study Area E-0,tussenverdieping bg,52.00099,4.371937,16,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00020,34 - 3mE,34.05.T1.450,E-T1-450,Study Area E-1,Study Area E-1,tussenverdieping 1e,52.000461,4.372337,16,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
SSP00009,34 - 3mE,34.07.00.080,G-0-080,Designstudio 1,Designstudio 1,begane grond,52.000166,4.371881,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),ja,ja,>25m,onbekend,0-25m
SSP00010,34 - 3mE,34.07.00.100,G-0-100,Designstudio 2,Designstudio 2,begane grond,52.000166,4.371881,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),nee,ja,>25m,onbekend,0-25m
SSP00011,34 - 3mE,34.07.00.120,G-0-120,Designstudio 3,Designstudio 3,begane grond,52.000166,4.371881,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),nee,ja,>25m,onbekend,0-25m
SSP00012,34 - 3mE,34.07.00.140,G-0-140,Designstudio 4,Designstudio 4,begane grond,52.000166,4.371881,8,0,rustig,kunstmatig licht,ja (>/= 1 pp),nee,ja,>25m,onbekend,0-25m
SSP00156,35 - Drebbelweg,35.00.01.800,1800,Study Area - Entresol,Study Area - Entresol,tussenverdieping bg,51.999086,4.371394,35,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00144,35 - Drebbelweg,35.00.01.807,1807,Hallway,Hallway,1e verdieping,51.9991,4.371846,23,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00163,36 - EWI,36.01.00.130,HB 00.130,Main Hall,Main Hall,begane grond,51.998987,4.373433,52,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP055,36 - EWI,36.01.00.510,HB 00.510,Hallway,Hallway,begane grond,51.998794,4.373653,16,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
SSP00165,36 - EWI,36.01.00.511,HB 00.511,Study Area,Study Area,begane grond,51.99875,4.373232,36,18,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00166,36 - EWI,36.01.00.512,HB 00.512,Study Area - Computers,Study Area - Computers,begane grond,51.998819,4.372975,16,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00160,36 - EWI,36.01.01.030,HB 01.030,Restaurant,Restaurant,1e verdieping,51.998987,4.373433,199,0,rumoerig,daglicht,nee,nee,nee,0-25m,>50m,0-25m
SSP00158,36 - EWI,36.01.01.513,HB 01.513,GANG - losse tafels hoog laag,GANG - losse tafels hoog laag,1e verdieping,51.99875,4.373232,52,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00159,36 - EWI,36.01.01.513,HB 01.513,Hallway,Hallway,1e verdieping,51.99875,4.373232,20,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP062,36 - EWI,36.01.01.516,HB 01.516,Hallway,Hallway,1e verdieping,51.998794,4.373653,20,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP056,36 - EWI,36.01.02.100,HB 02.100,Silent Study Room,Silent Study Room,2e verdieping,51.998794,4.373653,15,15,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP055,36 - EWI,36.01.02.230,HB 02.230,Silent Study Room - with Computers,Silent Study Room - with Computers,2e verdieping,51.998794,4.373653,36,36,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00168,36 - EWI,36.01.02.230,HB 02.230,Silent Study Room,Silent Study Room,2e verdieping,51.998613,4.373536,43,39,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,0-25m
23SSP054,36 - EWI,36.01.00.340,HB.00.340,Hallway,Hallway,begane grond,51.998794,4.373653,8,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00374,58 - TNW,58.01.00.080,A0.080,Silent Study Room,Silent Study Room,begane grond,51.990018,4.379951,42,0,stil,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00373,58 - TNW,58.01.01.010,A1.010,Restaurant,Restaurant,1e verdieping,51.989932,4.379586,37,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00376,58 - TNW,58.01.01.803,A1.803,Gang,Gang,1e verdieping,51.990018,4.379951,16,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00377,58 - TNW,58.01.01.804,A1.804,Cubicles,Cubicles,1e verdieping,51.989831,4.379745,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00378,58 - TNW,58.01.01.805,A1.805,Cubicles,Cubicles,1e verdieping,51.989865,4.379947,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00379,58 - TNW,58.01.01.806,A1.806,Cubicles,Cubicles,1e verdieping,51.990067,4.379789,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00380,58 - TNW,58.01.01.807,A1.807,Cubicles,Cubicles,1e verdieping,51.99002,4.379634,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00381,58 - TNW,58.01.02.803,A2.803,Balustrade,Balustrade,2e verdieping,51.989932,4.379586,10,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00382,58 - TNW,58.01.02.804,A2.804,Cubicles,Cubicles,2e verdieping,51.989831,4.379745,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00383,58 - TNW,58.01.02.805,A2.805,Cubicles,Cubicles,2e verdieping,51.989865,4.379947,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00384,58 - TNW,58.01.02.806,A2.806,Cubicles,Cubicles,2e verdieping,51.99002,4.379634,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00385,58 - TNW,58.01.02.807,A2.807,Cubicles,Cubicles,2e verdieping,51.990067,4.379789,12,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00386,58 - TNW,58.01.03.010,A3.010,Silent Study Room,Silent Study Room,3e verdieping,51.990018,4.379951,30,0,stil,daglicht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00253,62 - Luchtvaart- en Ruimtevaarttechniek,62.00.01.800,1800,Leonardo da Vinci square,Leonardo da Vinci square,1e verdieping,51.990188,4.375309,7,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,>25m
SSP00255,62 - Luchtvaart- en Ruimtevaarttechniek,62.00.01.800,1800,Jan Siebring square,Jan Siebring square,1e verdieping,51.989906,4.375405,8,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,>25m,0-50m,>25m
23SSP057,62 - Luchtvaart- en Ruimtevaarttechniek,62.00.00.010,0.01,Restaurant,Restaurant,begane grond,51.989924,4.375534,119,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
SSP00258,62 - Luchtvaart- en Ruimtevaarttechniek,62.00.00.510,0.51,Study Area,Study Area,begane grond,51.989906,4.375405,54,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00254,62 - Luchtvaart- en Ruimtevaarttechniek,62.00.00.800,T0.800,Balustrade,Balustrade,tussenverdieping bg,51.989906,4.375405,16,0,rumoerig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,>25m
23SSP059,66 - The Fellowship,62.00.01.130,1130,Restaurant - 1st floor,Restaurant - 1st floor,1e verdieping,51.990604,4.377517,105,0,rumoerig,daglicht,nee,nee,nee,nvt,>50m,0-25m
23SSP061,66 - The Fellowship,62.00.01.620,1620,Coffee Corner,Coffee Corner,1e verdieping,51.990604,4.377517,10,0,rumoerig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
SSP00342,66 - The Fellowship,62.00.01.802,1802,Balustrade,Balustrade,1e verdieping,51.99062,4.377527,9,9,rumoerig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,>50m,0-25m
23SSP060,66 - The Fellowship,62.00.02.420,2420,Study Area,Study Area,2e verdieping,51.990604,4.377517,24,0,rustig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
23SSP058,66 - The Fellowship,62.00.00.200,0.2,Restaurant,Restaurant,begane grond,51.990604,4.377517,80,0,rumoerig,daglicht,nee,nee,nee,nvt,>50m,0-25m
SSP00340,66 - The Fellowship,62.00.00.802,0.802,Main Hall,Main Hall,begane grond,51.99062,4.377527,22,0,rumoerig,daglicht,nee,nee,nee,0-25m,>50m,0-25m
