;;;;;;;;;Eigenschappen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ref#;Gebouw;Etage;Vastgoednr;Kamernr;Ruimtenaam;Beschrijving (oud, vervalt);Soort studieplek;Zone;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Aantal vaste PC;Overige faciliteiten;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep;Opmerkingen;;;tbv selecteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;1e verdieping;560;01.Oost.560;STUDIERUIMTE;aanlandplek;onderwijsruimte;;B;100;10;10;100;0;0;80;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;;;nee;nee;nee;0-25m;0-25m;0-25m;ja;FSR: niet beschikbaar als studieplek voor anderen;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;1e verdieping;620;01.Oost.620;STUDIERUIMTE;overlegplek;informeel zitje;;C;22;7;3;0;22;0;7;1;rustig;nee;ja;ja (<1 pp);ja;nee;;;nee;nee;nee;>25m;0-25m;>25m;ja;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x;8 - Bouwkunde;1e verdieping;430;01.West.430;STUDIERUIMTE;aanlandplek;onderwijsruimte;;B;110;11;10;90;23;8;60;2;stil;nee;ja;ja (>/= 1 pp);ja;nee;;;nee;nee;nee;0-25m;0-25m;0-25m;ja;FSR: niet beschikbaar als studieplek voor anderen;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x;8 - Bouwkunde;tussenverdieping 1e;010;01+.Mid.010;BIBLIOTHEEK;mix van aanlanden;informeel zitje;;C;5;0;0;0;0;5;5;1;stil;nee;ja;ja (<1 pp);nee;nee;;;nee;nee;nee;>25m;>25m;>25m;nee;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x;8 - Bouwkunde;tussenverdieping 1e;020;01+.Mid.020;BIBLIOTHEEK;mix van aanlanden;informeel zitje;;C;7;0;0;0;0;7;7;1;stil;nee;ja;ja (<1 pp);nee;nee;;;nee;nee;nee;>25m;>25m;>25m;nee;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;tussenverdieping 1e;030;01+.Mid.030;BIBLIOTHEEK;stiltewerkplek;concentratiewerkplek;;A;24;3;8;24;0;0;24;1;stil;nee;ja;ja (>/= 1 pp);nee;ja;;;nee;nee;nee;>25m;>25m;>25m;nee;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;tussenverdieping 1e;030;01+.Mid.030;BIBLIOTHEEK;stiltewerkplek;concentratiewerkplek;;A;12;1;12;12;0;0;12;1;stil;nee;nee;ja (<1 pp);nee;nee;;;nee;nee;nee;>25m;>25m;>25m;nee;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;2e verdieping;010;02.Mid.010;STUDIERUIMTE;aanlandplek;onderwijsruimte;;B;80;8;10;80;5;0;70;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;;;nee;nee;nee;0-25m;0-25m;0-25m;ja;FSR: niet beschikbaar als studieplek voor anderen;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;2e verdieping;110;02.Mid.110;STUDIERUIMTE;aanlandplek;onderwijsruimte;;B;103;10;10;100;6;0;88;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;;;nee;nee;nee;0-25m;0-25m;>25m;ja;FSR: niet beschikbaar als studieplek voor anderen;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;8 - Bouwkunde;2e verdieping;010;02.Oost.010;STUDIERUIMTE;aanlandplek;onderwijsruimte;;B;110;11;10;110;6;0;96;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;;;nee;nee;nee;0-25m;0-25m;0-25m;ja;FSR: niet beschikbaar als studieplek voor anderen;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
